#boundary segments
-1571.82 43.7795
-1576.8 48.1235
-1582.28 52.8881
-1588.3 58.1124
-1594.93 63.8392
-1602.22 70.1147
-1610.24 76.9892
-1619.06 84.517
-1628.77 92.7568
-1639.44 101.772
-1651.19 111.631
-1664.1 122.407
-1678.31 134.18
-1693.94 147.033
-1711.14 161.058
-1730.05 176.351
-1750.85 193.015
-1773.73 211.16
-1789.63 223.654

0 223.654
-1789.63 223.654

269.002 68.336
337.338 0

394.669 68.336
337.338 68.336
269.002 68.336

1974.4 502.914
1974.44 502.879
1974.48 502.841
1974.53 502.799
1974.58 502.752
1974.64 502.702
1974.7 502.646
1974.77 502.584
1974.84 502.516
1974.93 502.442
1975.02 502.36
1975.12 502.269
1975.23 502.17
1975.35 502.061
1975.48 501.941
1975.63 501.809
1975.79 501.664
1975.97 501.504
1976.17 501.329
1976.38 501.135
1976.62 500.923
1976.88 500.689
1977.17 500.432
1977.48 500.15
1977.83 499.839
1978.21 499.497
1978.63 499.121
1979.09 498.707
1979.6 498.253
1980.15 497.753
1980.77 497.203
1981.44 496.598
1982.19 495.934
1983 495.203
1983.9 494.399
1984.89 493.516
1985.98 492.545
1987.17 491.477
1988.49 490.304
1989.94 489.014
1991.53 487.597
1993.28 486.039
1995.21 484.327
1997.33 482.447
1999.66 480.381
2002.22 478.111
2005.05 475.619
2008.15 472.882
2011.56 469.876
2015.32 466.577
2019.45 462.957
2023.99 458.983
2028.99 454.625
2034.48 449.844
2040.53 444.602
2047.18 438.856
2054.5 432.559
2062.55 425.662
2071.4 418.109
2081.14 409.842
2091.85 400.797
2103.64 390.906
2116.6 380.095
2130.86 368.284
2146.54 355.389
2163.8 341.32
2182.77 325.978
2203.65 309.262
2226.61 291.061
2251.87 271.26
2277.42 251.457

394.669 386.318
394.669 223.654

452 0
1974.4 0

337.338 444.616
191.442 444.616

337.338 386.318
337.338 444.616

191.442 386.318
191.442 304.986


